Lambda,DC,w,height,S11,generation
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,4
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,4
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.2666742921049676,6.620455214373138e-07,1.6416029086119664e-07,0.34844462647884816,5
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,5
1e-07,0.6395535141192952,6.620455214373138e-07,1.616104745211109e-07,,5
1.043323297812414e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35320721966907004,5
1.1250059785791629e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.3581247002345225,5
1e-07,0.1,6.620455214373138e-07,2.477209489697607e-07,0.25316328016283035,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.6500503338946488e-07,0.34844849929675215,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,2.2310207586175649e-07,0.2837517188471864,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
